Yorum,Duygu,Temizlenmis_Yorum,Temizlenmis_Yorum_Stopless,Lemmatize_Yorum
Kendime ayıracak 5 dakikam bile yok.,stresli,kendime ayıracak 5 dakikam bile yok,kendime ayıracak 5 dakikam yok,kendi ayır 5 dakika bile yok
"Her gün işe gitmeden önce karnım ağrıyor, stres bedenimi ele geçirmiş.",stresli,gün işe gitmeden önce karnım ağrıyor stres bedenimi ele geçirmiş,gün işe gitmeden önce karnım ağrıyor stres bedenimi ele geçirmiş,gün iş git önce karın ağrı stres beden el geçir
İnsanlardan uzak kalmak istiyorum.,stresli,i̇nsanlardan uzak kalmak istiyorum,i̇nsanlardan uzak kalmak istiyorum,UNK uzak kal iste
"Sürekli yetiştirmem gereken şeyler var, kafam hiç rahat değil.",stresli,sürekli yetiştirmem gereken şeyler var kafam rahat değil,sürekli yetiştirmem gereken şeyler var kafam rahat değil,sürekli yetiş gerek şey var kafa rahat değil
Stres artık normalim oldu.,stresli,stres artık normalim oldu,stres normalim oldu,stres artık normal ol
"Gün boyu hiçbir şey yapmasam da bitkinim, bu stres beni mahvediyor.",stresli,gün boyu hiçbir şey yapmasam bitkinim stres beni mahvediyor,gün boyu hiçbir şey yapmasam bitkinim stres beni mahvediyor,gün boy hiçbir şey yap bitkin stres ben mahvet
Herkese yetişmeye çalışmaktan yoruldum.,stresli,herkese yetişmeye çalışmaktan yoruldum,herkese yetişmeye çalışmaktan yoruldum,herkes yetiş çalış yor
İnsanlarla uğraşmak beni inanılmaz geriyor.,stresli,i̇nsanlarla uğraşmak beni inanılmaz geriyor,i̇nsanlarla uğraşmak beni inanılmaz geriyor,UNK uğraş ben inan ger
Çok az uyuyorum ama hala işler birikiyor.,stresli,uyuyorum hala işler birikiyor,uyuyorum işler birikiyor,uy hala iş birik
Patronun beklentileri beni baskı altında hissettiriyor.,stresli,patronun beklentileri beni baskı altında hissettiriyor,patronun beklentileri beni baskı altında hissettiriyor,patron beklenti ben baskı alt hisset
Kalbim gün içinde aniden hızlı atmaya başlıyor.,stresli,kalbim gün içinde aniden hızlı atmaya başlıyor,kalbim gün içinde aniden hızlı atmaya başlıyor,kalp gün iç aniden hız at başla
"Çok fazla sorumluluğum var, hangisini önce yapacağımı bilemiyorum.",stresli,fazla sorumluluğum var hangisini önce yapacağımı bilemiyorum,fazla sorumluluğum var hangisini önce yapacağımı bilemiyorum,fazla sorumluluk var hangi önce yap bil
Telefona bakarken bile içimde huzursuzluk oluyor.,stresli,telefona bakarken bile içimde huzursuzluk oluyor,telefona bakarken içimde huzursuzluk oluyor,telefon bak bile içim huzur ol
Annemle olan ilişkimiz beni sürekli strese sokuyor.,stresli,annemle olan ilişkimiz beni sürekli strese sokuyor,annemle olan ilişkimiz beni sürekli strese sokuyor,anne ol ilişki ben sürekli stres sok
Zamanla yarışır gibiyim.,stresli,zamanla yarışır gibiyim,zamanla yarışır gibiyim,zaman yarış gibi
İlişkimdeki belirsizlik beni çok yıpratıyor.,stresli,i̇lişkimdeki belirsizlik beni yıpratıyor,i̇lişkimdeki belirsizlik beni yıpratıyor,UNK belirsiz ben yıprat
İşe odaklanamıyorum çünkü sürekli aklım başka yerde.,stresli,i̇şe odaklanamıyorum sürekli aklım başka yerde,i̇şe odaklanamıyorum sürekli aklım başka yerde,UNK odakla sürekli akıl başka yer
Herkesin benden mükemmel olmamı beklemesi dayanılmaz.,stresli,herkesin benden mükemmel olmamı beklemesi dayanılmaz,herkesin benden mükemmel olmamı beklemesi dayanılmaz,herkes ben mükemmel ol bekle dayanılmaz
Sürekli tetikte olmak yıpratıcı.,stresli,sürekli tetikte olmak yıpratıcı,sürekli tetikte olmak yıpratıcı,sürekli tetik ol yıprat
Trafikte geçirdiğim zaman sinir sistemimi mahvediyor.,stresli,trafikte geçirdiğim zaman sinir sistemimi mahvediyor,trafikte geçirdiğim zaman sinir sistemimi mahvediyor,trafik geçir zaman sinir sistem mahvet
Okul-iş arasında gidip gelmek psikolojimi bozuyor.,stresli,okuliş arasında gidip gelmek psikolojimi bozuyor,okuliş arasında gidip gelmek psikolojimi bozuyor,UNK ara git gel psikoloji boz
Küçük şeyler bile beni çok kolay strese sokuyor.,stresli,küçük şeyler bile beni kolay strese sokuyor,küçük şeyler beni kolay strese sokuyor,küçük şey bile ben kolay stres sok
Sorumluluklarımı unutacağım korkusuyla her şeyi not alıyorum.,stresli,sorumluluklarımı unutacağım korkusuyla şeyi not alıyorum,sorumluluklarımı unutacağım korkusuyla şeyi not alıyorum,sorumluluk unut korku şe not al
Sürekli tetikte olmak zorundaymışım gibi hissediyorum.,stresli,sürekli tetikte olmak zorundaymışım hissediyorum,sürekli tetikte olmak zorundaymışım hissediyorum,sürekli tetik ol zor hisset
"İnsanlar beni anlamıyor, bu da beni strese sokuyor.",stresli,i̇nsanlar beni anlamıyor beni strese sokuyor,i̇nsanlar beni anlamıyor beni strese sokuyor,UNK ben anla ben stres sok
Maddi sıkıntılarım beni geceleri bile rahat bırakmıyor.,stresli,maddi sıkıntılarım beni geceleri bile rahat bırakmıyor,maddi sıkıntılarım beni geceleri rahat bırakmıyor,maddi sıkıntı ben gece bile rahat bırak
Kendimi hep eksik hissediyorum.,stresli,kendimi hep eksik hissediyorum,kendimi eksik hissediyorum,kendi hep eksik hisset
"Sınavdan önce ellerim terliyor, içimde tarif edilemez bir stres oluyor.",stresli,sınavdan önce ellerim terliyor içimde tarif edilemez stres oluyor,sınavdan önce ellerim terliyor içimde tarif edilemez stres oluyor,sınav önce el terle içim tarif et stres ol
Gülümsemeye çalışıyorum ama içim yanıyor.,stresli,gülümsemeye çalışıyorum içim yanıyor,gülümsemeye çalışıyorum içim yanıyor,gülümse çalış içim yan
Sosyal ortamlarda nasıl davranmam gerektiğini düşünmek bile yoruyor.,stresli,sosyal ortamlarda davranmam gerektiğini düşünmek bile yoruyor,sosyal ortamlarda davranmam gerektiğini düşünmek yoruyor,sosyal ortam davran gerek düşün bile yor
Sadece nefes almak bile yorucu geliyor.,stresli,sadece nefes almak bile yorucu geliyor,sadece nefes almak yorucu geliyor,sadece nefes al bile yor gel
Evdeki gürültü bile beni sinirlendirmeye başladı.,stresli,evdeki gürültü bile beni sinirlendirmeye başladı,evdeki gürültü beni sinirlendirmeye başladı,ev gürültü bile ben sinir başla
Mükemmel olmaya çalışırken kendimi kaybediyorum.,stresli,mükemmel olmaya çalışırken kendimi kaybediyorum,mükemmel olmaya çalışırken kendimi kaybediyorum,mükemmel ol çalış kendi kaybet
Telefona gelen her bildirim kalbimi hızlı attırıyor.,stresli,telefona gelen bildirim kalbimi hızlı attırıyor,telefona gelen bildirim kalbimi hızlı attırıyor,telefon gel bildirim kalp hız at
İnsanlarla yüzleşmek istemiyorum.,stresli,i̇nsanlarla yüzleşmek istemiyorum,i̇nsanlarla yüzleşmek istemiyorum,UNK yüzleş iste
Hatalarım yüzünden kendimi sürekli baskı altında hissediyorum.,stresli,hatalarım yüzünden kendimi sürekli baskı altında hissediyorum,hatalarım kendimi sürekli baskı altında hissediyorum,hata yüz kendi sürekli baskı alt hisset
"Bazen bağırmak istiyorum, içimde birikiyor.",stresli,bazen bağırmak istiyorum içimde birikiyor,bazen bağırmak istiyorum içimde birikiyor,bazen bağır iste içim birik
Artık hiçbir şeyi tam yapamıyorum gibi geliyor.,stresli,artık hiçbir şeyi tam yapamıyorum geliyor,hiçbir şeyi tam yapamıyorum geliyor,artık hiçbir şe tam yap gel
Her sabah uyanmak daha da zor geliyor.,stresli,sabah uyanmak zor geliyor,sabah uyanmak zor geliyor,sabah uyan zor gel
Arkadaşlarımın beklentilerini karşılayamamak beni üzüyor.,stresli,arkadaşlarımın beklentilerini karşılayamamak beni üzüyor,arkadaşlarımın beklentilerini karşılayamamak beni üzüyor,arkadaş beklenti karşıla ben üz
Duygularımı bastırmak beni daha çok yoruyor.,stresli,duygularımı bastırmak beni yoruyor,duygularımı bastırmak beni yoruyor,duygu bas ben yor
Sürekli bir şeyleri kaçırıyorum hissi içimde.,stresli,sürekli şeyleri kaçırıyorum hissi içimde,sürekli şeyleri kaçırıyorum hissi içimde,sürekli şey kaçır hissi içim
Kimseye hayır diyememek strese neden oluyor.,stresli,kimseye hayır diyememek strese oluyor,kimseye hayır diyememek strese oluyor,kimse hayır de stres ol
Her hafta toplantı hazırlığı yapmak beni geriyor.,stresli,hafta toplantı hazırlığı yapmak beni geriyor,hafta toplantı hazırlığı yapmak beni geriyor,hafta toplantı hazırlık yap ben ger
Başkalarının beklentileriyle yaşıyorum.,stresli,başkalarının beklentileriyle yaşıyorum,başkalarının beklentileriyle yaşıyorum,başka beklenti yaşa
İşe geç kalma korkusu stres yaratıyor.,stresli,i̇şe geç kalma korkusu stres yaratıyor,i̇şe geç kalma korkusu stres yaratıyor,UNK geç kal korku stres yarat
Her adımımı planlamazsam huzursuz oluyorum.,stresli,adımımı planlamazsam huzursuz oluyorum,adımımı planlamazsam huzursuz oluyorum,adım planla huzur ol
Geleceğe dair plan yapamamak beni endişelendiriyor.,stresli,geleceğe dair plan yapamamak beni endişelendiriyor,geleceğe dair plan yapamamak beni endişelendiriyor,gelecek dair plan yap ben endişe
Gün sonunda başım çatlıyor.,stresli,gün sonunda başım çatlıyor,gün sonunda başım çatlıyor,gün sonunda baş çatla
Her şeyden ben sorumluymuşum gibi davranıyorlar.,stresli,şeyden sorumluymuşum davranıyorlar,şeyden sorumluymuşum davranıyorlar,şey sorum davran
Sürekli kontrol etmeye çalışmak beni delirtmek üzere.,stresli,sürekli kontrol etmeye çalışmak beni delirtmek,sürekli kontrol etmeye çalışmak beni delirtmek,sürekli kontrol et çalış ben delir
Kendime hiç zaman ayıramamak beni daha da sinirlendiriyor.,stresli,kendime zaman ayıramamak beni sinirlendiriyor,kendime zaman ayıramamak beni sinirlendiriyor,kendi zaman ayır ben sinir
Herkese yetişmek mümkün değil ama yine de deniyorum.,stresli,herkese yetişmek mümkün değil yine deniyorum,herkese yetişmek mümkün değil yine deniyorum,herkes yetiş mümkün değil yine dene
Hayat kontrolümden çıkmış gibi hissediyorum.,stresli,hayat kontrolümden çıkmış hissediyorum,hayat kontrolümden çıkmış hissediyorum,hayat kontrol çık hisset
Rutinlerime küçük bir şey eklense tüm günüm mahvoluyor.,stresli,rutinlerime küçük şey eklense tüm günüm mahvoluyor,rutinlerime küçük şey eklense tüm günüm mahvoluyor,rutin küçük şey ekle tüm gün mahvol
"Evdeki işler hiç bitmiyor, hep bir telaşe içindeyim.",stresli,evdeki işler bitmiyor hep telaşe içindeyim,evdeki işler bitmiyor telaşe içindeyim,ev iş bit hep telaşe iç
Stres altında karar veremiyorum.,stresli,stres altında karar veremiyorum,stres altında karar veremiyorum,stres alt karar ver
Arkadaş grubumda bile sürekli geriliyorum.,stresli,arkadaş grubumda bile sürekli geriliyorum,arkadaş grubumda sürekli geriliyorum,arkadaş grup bile sürekli gerile
Dışarı çıkmadan önce saatlerce hazırlanıyorum çünkü stresli oluyorum.,stresli,dışarı çıkmadan önce saatlerce hazırlanıyorum stresli oluyorum,dışarı çıkmadan önce saatlerce hazırlanıyorum stresli oluyorum,dışarı çık önce saat hazırla stres ol
Sosyal medya bile artık stres kaynağı oldu.,stresli,sosyal medya bile artık stres kaynağı oldu,sosyal medya stres kaynağı oldu,sosyal medya bile artık stres kaynak ol
Elimden gelenin en iyisini yapıyorum ama yetmiyor gibi hissediyorum.,stresli,elimden gelenin iyisini yapıyorum yetmiyor hissediyorum,elimden gelenin iyisini yapıyorum yetmiyor hissediyorum,el geleni iyi yap yet hisset
Her gün aynı döngüde yaşamak beni yoruyor.,stresli,gün aynı döngüde yaşamak beni yoruyor,gün aynı döngüde yaşamak beni yoruyor,gün aynı döngü yaşa ben yor
Uyumadan önce yapılacaklar listesi aklımda dönüp duruyor.,stresli,uyumadan önce yapılacaklar listesi aklımda dönüp duruyor,uyumadan önce yapılacaklar listesi aklımda dönüp duruyor,uyu önce yap liste akıl dön dur
"Okulda proje teslim tarihleri üst üste geldi, başım dönüyor.",stresli,okulda proje teslim tarihleri üst üste geldi başım dönüyor,okulda proje teslim tarihleri üst üste geldi başım dönüyor,okul proje teslim tarih üst üste gel baş dön
Sürekli yeni bir sorumluluk yükleniyor.,stresli,sürekli yeni sorumluluk yükleniyor,sürekli yeni sorumluluk yükleniyor,sürekli yeni sorumluluk yükle
Düşünmekten başım ağrıyor.,stresli,düşünmekten başım ağrıyor,düşünmekten başım ağrıyor,düşün baş ağrı
İnsanlara hayır dediğimde suçluluk duyuyorum.,stresli,i̇nsanlara hayır dediğimde suçluluk duyuyorum,i̇nsanlara hayır dediğimde suçluluk duyuyorum,UNK hayır de suç duy
Her hafta sonu plan yapmak zorunda kalmak bile stresli.,stresli,hafta sonu plan yapmak zorunda kalmak bile stresli,hafta sonu plan yapmak zorunda kalmak stresli,hafta son plan yap zor kal bile stres
Ertelenmiş işler uykularımı kaçırıyor.,stresli,ertelenmiş işler uykularımı kaçırıyor,ertelenmiş işler uykularımı kaçırıyor,ertele iş uyku kaçır
Vücudumda stresin fiziksel etkilerini hissediyorum.,stresli,vücudumda stresin fiziksel etkilerini hissediyorum,vücudumda stresin fiziksel etkilerini hissediyorum,vücut stres fizik etki hisset
İş dışında da sürekli işle meşgulüm.,stresli,i̇ş dışında sürekli işle meşgulüm,i̇ş dışında sürekli işle meşgulüm,UNK dış sürekli iş meşgul
Her şeyin mükemmel olması gerektiğini düşünüyorum.,stresli,şeyin mükemmel olması gerektiğini düşünüyorum,şeyin mükemmel olması gerektiğini düşünüyorum,şey mükemmel ol gerek düşün
Kendimi hep yetersiz hissediyorum.,stresli,kendimi hep yetersiz hissediyorum,kendimi yetersiz hissediyorum,kendi hep yetersiz hisset
Ailemden gelen beklentiler beni ağırlaştırıyor.,stresli,ailemden gelen beklentiler beni ağırlaştırıyor,ailemden gelen beklentiler beni ağırlaştırıyor,aile gel beklenti ben ağır
Sürekli eleştirileceğim korkusuyla yaşıyorum.,stresli,sürekli eleştirileceğim korkusuyla yaşıyorum,sürekli eleştirileceğim korkusuyla yaşıyorum,sürekli eleştir korku yaşa
Evden çıkmadan önce ne giyeceğim bile beni geriyor.,stresli,evden çıkmadan önce giyeceğim bile beni geriyor,evden çıkmadan önce giyeceğim beni geriyor,ev çık önce giy bile ben ger
"Her şey birikiyor, içim şişiyor.",stresli,şey birikiyor içim şişiyor,şey birikiyor içim şişiyor,şey birik içim şiş
Topluluk önünde konuşmak bana dayanılmaz geliyor.,stresli,topluluk önünde konuşmak bana dayanılmaz geliyor,topluluk önünde konuşmak bana dayanılmaz geliyor,topluluk ön konuş ben dayanılmaz gel
Kaçmak istiyorum ama nereye bilmiyorum.,stresli,kaçmak istiyorum nereye bilmiyorum,kaçmak istiyorum nereye bilmiyorum,kaç iste nere bil
İç sesim beni hep daha fazlasını yapmaya zorluyor.,stresli,i̇ç sesim beni hep fazlasını yapmaya zorluyor,i̇ç sesim beni fazlasını yapmaya zorluyor,UNK ses ben hep fazla yap zorla
Dinlenmek istiyorum ama stres buna izin vermiyor.,stresli,dinlenmek istiyorum stres buna izin vermiyor,dinlenmek istiyorum stres buna izin vermiyor,dinlen iste stres bu izin ver
Her gün baş ağrısıyla uyanıyorum.,stresli,gün baş ağrısıyla uyanıyorum,gün baş ağrısıyla uyanıyorum,gün baş ağrı uyan
Sevdiklerime zaman ayıramamak vicdan azabı yaratıyor.,stresli,sevdiklerime zaman ayıramamak vicdan azabı yaratıyor,sevdiklerime zaman ayıramamak vicdan azabı yaratıyor,sev zaman ayır vicdan azap yarat
Kendimi toparlayacak gücü bulamıyorum.,stresli,kendimi toparlayacak gücü bulamıyorum,kendimi toparlayacak gücü bulamıyorum,kendi toparla güç bul
Bitmeyen sorumluluklar hayatımı zehir ediyor.,stresli,bitmeyen sorumluluklar hayatımı zehir ediyor,bitmeyen sorumluluklar hayatımı zehir ediyor,bit sorumluluk hayat zehir et
Gülümsemek için bile efor harcamam gerekiyor.,stresli,gülümsemek bile efor harcamam gerekiyor,gülümsemek efor harcamam gerekiyor,gülümse bile efor harca gerek
Bu stres beni tüketti.,stresli,stres beni tüketti,stres beni tüketti,stres ben tüket
Kendimi son zamanlarda çok yalnız ve değersiz hissediyorum.,üzgün,kendimi son zamanlarda yalnız değersiz hissediyorum,kendimi son zamanlarda yalnız değersiz hissediyorum,kendi son zaman yalnız değer hisset
İnsanlar yanımda ama ben kendimi terkedilmiş hissediyorum.,üzgün,i̇nsanlar yanımda kendimi terkedilmiş hissediyorum,i̇nsanlar yanımda kendimi terkedilmiş hissediyorum,UNK yan kendi terket hisset
Hiçbir şey eskisi gibi keyif vermiyor.,üzgün,hiçbir şey eskisi keyif vermiyor,hiçbir şey eskisi keyif vermiyor,hiçbir şey eski keyif ver
"Telefonum çalmıyor, kimse beni merak etmiyor gibi.",üzgün,telefonum çalmıyor kimse beni merak etmiyor,telefonum çalmıyor beni merak etmiyor,telefon çal kimse ben merak et
Gülümsemeye çalışıyorum ama içimde bir boşluk var.,üzgün,gülümsemeye çalışıyorum içimde boşluk var,gülümsemeye çalışıyorum içimde boşluk var,gülümse çalış içim boşluk var
Hayallerimi birer birer gömdüm.,üzgün,hayallerimi birer birer gömdüm,hayallerimi birer birer gömdüm,hayal birer birer göm
Hayatın yükü omuzlarımı ezdikçe daha da üzülüyorum.,üzgün,hayatın yükü omuzlarımı ezdikçe üzülüyorum,hayatın yükü omuzlarımı ezdikçe üzülüyorum,hayat yük omuz ez üz
Yalnızken daha az yargılanıyorum.,üzgün,yalnızken yargılanıyorum,yalnızken yargılanıyorum,yalnız yargı
Kimse beni anlamıyor gibi hissediyorum.,üzgün,kimse beni anlamıyor hissediyorum,beni anlamıyor hissediyorum,kimse ben anla hisset
"Sürekli geçmişi düşünüyorum, ileriye bakamıyorum.",üzgün,sürekli geçmişi düşünüyorum ileriye bakamıyorum,sürekli geçmişi düşünüyorum ileriye bakamıyorum,sürekli geçmiş düşün ileri bak
Herkes mutlu görünürken ben neden hep böyleyim bilmiyorum.,üzgün,herkes mutlu görünürken hep böyleyim bilmiyorum,mutlu görünürken böyleyim bilmiyorum,herkes mutlu görün hep böyle bil
Gözlerimin altındaki morluklar hissettiklerimi anlatıyor.,üzgün,gözlerimin altındaki morluklar hissettiklerimi anlatıyor,gözlerimin altındaki morluklar hissettiklerimi anlatıyor,göz altın mor hisset anla
"İçimde sürekli bir hüzün var, geçmek bilmiyor.",üzgün,i̇çimde sürekli hüzün var geçmek bilmiyor,i̇çimde sürekli hüzün var geçmek bilmiyor,UNK sürekli hüzün var geç bil
Mutlu insanları gördükçe içim daha çok acıyor.,üzgün,mutlu insanları gördükçe içim acıyor,mutlu insanları gördükçe içim acıyor,mutlu insan gör içim acı
Sevdiklerimin beni anlamaması çok canımı yakıyor.,üzgün,sevdiklerimin beni anlamaması canımı yakıyor,sevdiklerimin beni anlamaması canımı yakıyor,sev ben anla can yak
Umutlanmak bile acı veriyor artık.,üzgün,umutlanmak bile acı veriyor artık,umutlanmak acı veriyor,umut bile acı ver artık
Kalabalıklar içinde bile kendimi yalnız hissediyorum.,üzgün,kalabalıklar içinde bile kendimi yalnız hissediyorum,kalabalıklar içinde kendimi yalnız hissediyorum,kalabalık iç bile kendi yalnız hisset
Sadece biri “iyi misin?” dese gözlerim dolacak.,üzgün,sadece biri iyi misin dese gözlerim dolacak,sadece biri iyi misin dese gözlerim dolacak,sadece biri iyi mi de göz dol
Hayatımda hiçbir şey yolunda gitmiyor.,üzgün,hayatımda hiçbir şey yolunda gitmiyor,hayatımda hiçbir şey yolunda gitmiyor,hayat hiçbir şey yol git
Kimseye yük olmak istemediğim için uzak duruyorum.,üzgün,kimseye yük olmak istemediğim uzak duruyorum,kimseye yük olmak istemediğim uzak duruyorum,kimse yük ol iste uzak dur
İnsanların yanında güçlü görünmeye çalışmak çok yorucu.,üzgün,i̇nsanların yanında güçlü görünmeye çalışmak yorucu,i̇nsanların yanında güçlü görünmeye çalışmak yorucu,UNK yan güç görün çalış yor
Ne zaman mutluluğa yaklaşsam elimden kayıyor.,üzgün,zaman mutluluğa yaklaşsam elimden kayıyor,zaman mutluluğa yaklaşsam elimden kayıyor,zaman mutlu yaklaş el kay
Gözyaşlarımı kimseye göstermeden yutuyorum.,üzgün,gözyaşlarımı kimseye göstermeden yutuyorum,gözyaşlarımı kimseye göstermeden yutuyorum,gözyaşı kimse göster yut
Sessizlik bile artık huzur vermiyor.,üzgün,sessizlik bile artık huzur vermiyor,sessizlik huzur vermiyor,ses bile artık huzur ver
"Her şey üzerime geliyor, çıkış yolu yok gibi.",üzgün,şey üzerime geliyor çıkış yolu yok,şey üzerime geliyor çıkış yolu yok,şey üzeri gel çık yol yok
Gülümsemem sahte ama başka çarem yok.,üzgün,gülümsemem sahte başka çarem yok,gülümsemem sahte başka çarem yok,gülümse sahte başka çare yok
Zaman geçtikçe her şeye karşı ilgimi kaybediyorum.,üzgün,zaman geçtikçe şeye karşı ilgimi kaybediyorum,zaman geçtikçe şeye karşı ilgimi kaybediyorum,zaman geç şey karşı ilgi kaybet
"Kalbim sıkışıyor bazen, sanki bir şey eksik.",üzgün,kalbim sıkışıyor bazen sanki şey eksik,kalbim sıkışıyor bazen sanki şey eksik,kalp sıkış bazen sanki şey eksik
İçimde çözülemeyen bir acı var.,üzgün,i̇çimde çözülemeyen acı var,i̇çimde çözülemeyen acı var,UNK çöz acı var
Umutlarım yavaş yavaş soluyor.,üzgün,umutlarım yavaş yavaş soluyor,umutlarım yavaş yavaş soluyor,umut yavaş yavaş solu
"Artık hayal kuramıyorum, çünkü kırılmaktan yoruldum.",üzgün,artık hayal kuramıyorum kırılmaktan yoruldum,hayal kuramıyorum kırılmaktan yoruldum,artık hayal kur kır yor
İnsanlar arasında bile kendimi tek başıma hissediyorum.,üzgün,i̇nsanlar arasında bile kendimi tek başıma hissediyorum,i̇nsanlar arasında kendimi tek başıma hissediyorum,UNK ara bile kendi tek baş hisset
Kendimi hep eksik ve yetersiz hissediyorum.,üzgün,kendimi hep eksik yetersiz hissediyorum,kendimi eksik yetersiz hissediyorum,kendi hep eksik yetersiz hisset
Düşüncelerim boğuluyormuşum gibi hissettiriyor.,üzgün,düşüncelerim boğuluyormuşum hissettiriyor,düşüncelerim boğuluyormuşum hissettiriyor,düşünce boğ hisset
"Uyumak istiyorum, çünkü uyanmak çok zor geliyor.",üzgün,uyumak istiyorum uyanmak zor geliyor,uyumak istiyorum uyanmak zor geliyor,uyu iste uyan zor gel
