Yorum,Duygu
Geleceği düşünmek beni her geçen gün daha fazla kaygılandırıyor.,kaygılı
Uyandığımda içimde bir tedirginlik oluyor.,kaygılı
Sabahları uyanmak bile artık içimde büyük bir endişe yaratıyor.,kaygılı
Uyandığımda içimde bir tedirginlik oluyor.,kaygılı
Sınav günü yaklaştıkça kalbim yerinden çıkacak gibi oluyor.,kaygılı
Başkalarının fikirleri beni çok etkiliyor.,kaygılı
İş yerindeki performans baskısı yüzünden sürekli diken üzerindeyim.,kaygılı
Bazen kaygının nedenini bile bilmiyorum ama içim rahat değil.,kaygılı
Bir şeyleri kaçırıyormuşum hissi beni yiyor bitiriyor.,kaygılı
Kafamın içi hiç durmadan konuşuyor.,kaygılı
Sosyal ortamlarda hep yanlış bir şey söyleyecekmişim gibi kaygılanıyorum.,kaygılı
Çok kalabalık ortamlar beni rahatsız ediyor.,kaygılı
Telefonum çaldığında bile kötü bir haber alacakmışım gibi hissediyorum.,kaygılı
Bir şeyleri unuttuğumda başıma kötü bir şey gelecekmiş gibi hissediyorum.,kaygılı
Ailem için yeterince iyi olmadığımı düşündükçe panik oluyorum.,kaygılı
Sürekli tetikte olmak çok yorucu.,kaygılı
"Kalabalık yerlerde nefes almakta zorlanıyorum, kaygı basıyor.",kaygılı
Yalnız kalınca düşüncelerim daha da artıyor.,kaygılı
Yarın ne olacağını bilememek beni içten içe yıpratıyor.,kaygılı
Bir hata yaparsam herkes beni yargılar diye korkuyorum.,kaygılı
Geceleri kaygı yüzünden uyuyamıyorum.,kaygılı
Kendi duygularımı kontrol edememek beni endişelendiriyor.,kaygılı
Sürekli olarak her şeyin kötü gideceğini düşünüyorum.,kaygılı
Başarısız olma korkusu beni felç ediyor.,kaygılı
İnsanların ne düşündüğü konusunda fazla kafa yoruyorum.,kaygılı
"Gerginliğim yüzüme vuruyor, insanlar fark ediyor.",kaygılı
Geçmişte yaptığım hatalar aklıma geldikçe kendime kızıyorum.,kaygılı
İş yerinde küçük bir hata bile beni günlerce etkiliyor.,kaygılı
Ani sesler beni anında panikletiyor.,kaygılı
Topluluk içinde konuşurken boğazım düğümleniyor.,kaygılı
"Sosyal medya beni sürekli kaygılandırıyor, herkes mükemmel gibi.",kaygılı
Gelecek planı yapmak imkansız gibi geliyor.,kaygılı
Uçak yolculuğu öncesi karnıma ağrılar giriyor.,kaygılı
"Yetişememekten, geç kalmaktan sürekli kaygılanıyorum.",kaygılı
Sevdiklerime bir şey olacak diye sürekli endişeleniyorum.,kaygılı
Her şey kontrolümden çıkacakmış gibi hissediyorum.,kaygılı
Yanlış anlaşılmaktan korkuyorum.,kaygılı
İnsanlarla yüz yüze gelmek beni yoruyor.,kaygılı
Evden çıkmadan önce her şeyi defalarca kontrol ediyorum.,kaygılı
Telefon konuşmaları bile beni geriyor.,kaygılı
Yeni biriyle tanışmak bana büyük kaygı veriyor.,kaygılı
Kaygı geldiğinde başım dönmeye başlıyor.,kaygılı
"Geleceğe dair hiçbir plan yapamıyorum, her şey belirsiz.",kaygılı
Önemli kararlar verirken kendime hiç güvenemiyorum.,kaygılı
En ufak başarısızlık beni haftalarca huzursuz ediyor.,kaygılı
Sürekli bir şeyleri kaçırıyormuşum gibi hissediyorum.,kaygılı
İş görüşmelerinde elim ayağım titriyor.,kaygılı
Bu dünyada yerim yokmuş gibi hissediyorum.,kaygılı
Konuşurken sesimin titrediğini fark ettikçe daha çok panikliyorum.,kaygılı
Hiçbir şeyden keyif alamaz hale geldim.,kaygılı
Kimseyi hayal kırıklığına uğratmak istemiyorum ama hep kaygılıyım.,kaygılı
Ailem bana güvensin istiyorum ama hata yapacağım diye korkuyorum.,kaygılı
Alışverişe çıktığımda bile insanların bakışlarından rahatsız oluyorum.,kaygılı
Uyumadan önce kafamın içi durmuyor.,kaygılı
Kalp çarpıntılarım bazen durduk yere başlıyor.,kaygılı
İlişkilerde hep terk edilmekten korkuyorum.,kaygılı
Bir hata yaptığımda kendimi affedemiyorum.,kaygılı
Güvende değilim hissi sürekli içimde.,kaygılı
Gece yatağa girince aklıma binlerce olumsuz senaryo geliyor.,kaygılı
Düşüncelerim bana zarar veriyor gibi hissediyorum.,kaygılı
Her zaman hazırlıklı olmalıyım hissi beni yoruyor.,kaygılı
Her an ağlayacak gibi hissediyorum.,kaygılı
Herkes benden bir şey bekliyormuş gibi hissediyorum.,kaygılı
Geleceğim yokmuş gibi hissediyorum.,kaygılı
Sürekli kötü şeyler olacakmış gibi bir korku içindeyim.,kaygılı
Başkalarına göre yetersizim gibi geliyor.,kaygılı
Zamanla yarışıyormuşum gibi hissediyorum.,kaygılı
Toplantılar bana işkence gibi geliyor.,kaygılı
Dışarıda yalnız yürürken arkamda biri varmış gibi hissediyorum.,kaygılı
Kaygı atağı geldiğinde hiçbir şey düşünemiyorum.,kaygılı
"Sunum yapmadan önce ellerim terliyor, dilim dolanıyor.",kaygılı
Gelecekle ilgili düşününce mideme ağrılar giriyor.,kaygılı
Sağlık kontrollerinden hep kötü bir sonuç çıkacak sanıyorum.,kaygılı
Her şey yolunda gitse bile kötü bir şey olacak diye korkuyorum.,kaygılı
Kendi kendime konuştuğumu fark ettiğimde bile endişeleniyorum.,kaygılı
Kendime haksızlık ettiğimi fark ediyorum ama duramıyorum.,kaygılı
Zamanında yetiştiremezsem ne olur korkusu sürekli aklımda.,kaygılı
Küçük detaylar bile beni çok düşündürüyor.,kaygılı
Mesajıma geç cevap gelince bir şey mi oldu acaba diye düşünüyorum.,kaygılı
Kalabalıkta yürürken başım dönüyor.,kaygılı
İnsanların arasında kendimi küçülmüş hissediyorum.,kaygılı
Duygularımı gizlemeye çalışmak bile yoruyor.,kaygılı
Sessiz ortamlarda bile bir şeylerin ters gideceğini düşünüyorum.,kaygılı
Sürekli en kötü senaryoyu kuruyorum kafamda.,kaygılı
Sırada beklerken bile içim daralıyor.,kaygılı
İçimde garip bir baskı hissi var.,kaygılı
"Metroya binerken içim sıkılıyor, ya çıkamazsam diye korkuyorum.",kaygılı
Herkesin beni izlediğini sanıyorum.,kaygılı
Bir toplantı öncesi dakikalar geçmek bilmiyor.,kaygılı
Sosyal medyada paylaştığım bir şey yanlış anlaşılır mı diye kaygılanıyorum.,kaygılı
Tanımadığım biriyle konuşurken bile tedirgin oluyorum.,kaygılı
Kendime güvenememek her şeyi zorlaştırıyor.,kaygılı
Dış görünüşüm hakkında hep endişeliyim.,kaygılı
Duygularımı kimse anlamıyor gibi hissediyorum.,kaygılı
Çalışmalarım yeterli mi diye sürekli düşünmekten yoruldum.,kaygılı
Sorumluluklarım arttıkça kaygım da artıyor.,kaygılı
Her şeyin mükemmel olması gerektiğini düşünüyorum.,kaygılı
"Geleceğe dair hiçbir şeyin garantisi yok, bu beni korkutuyor.",kaygılı
Hiçbir şeyi tam yapamıyor gibi hissediyorum.,kaygılı
Kaygı beni ele geçirmiş gibi hissediyorum.,kaygılı
"Üzerimde sürekli bir baskı hissediyorum, bu stres beni tüketiyor.",stresli
"Ofisteki ortam aşırı gergin, huzursuzum.",stresli
İş yerindeki teslim tarihleri yüzünden nefes alamıyorum.,stresli
Evin geçimi için sürekli plan yapmam gerek.,stresli
"Geceleri düşünmekten uyuyamıyorum, stresim hiç geçmiyor.",stresli
Kendimi sıkışmış gibi hissediyorum.,stresli
Her gün işe gitmek beni daha fazla geriyor.,stresli
Tek başıma bu kadar yükü taşıyamam.,stresli
Hayatımda her şey üstüme üstüme geliyor.,stresli
Dinlenmeye zamanım kalmadı.,stresli
"Zaman yetmiyor, gün içinde sürekli koşturuyorum.",stresli
Ufacık detaylara bile kafayı takar oldum.,stresli
"Sınav haftası boyunca midem ağrıyor, stresten yemek bile yiyemiyorum.",stresli
Kendime ayıracak 5 dakikam bile yok.,stresli
"Her gün işe gitmeden önce karnım ağrıyor, stres bedenimi ele geçirmiş.",stresli
İnsanlardan uzak kalmak istiyorum.,stresli
"Sürekli yetiştirmem gereken şeyler var, kafam hiç rahat değil.",stresli
Stres artık normalim oldu.,stresli
"Gün boyu hiçbir şey yapmasam da bitkinim, bu stres beni mahvediyor.",stresli
Herkese yetişmeye çalışmaktan yoruldum.,stresli
İnsanlarla uğraşmak beni inanılmaz geriyor.,stresli
Çok az uyuyorum ama hala işler birikiyor.,stresli
Patronun beklentileri beni baskı altında hissettiriyor.,stresli
Kalbim gün içinde aniden hızlı atmaya başlıyor.,stresli
"Çok fazla sorumluluğum var, hangisini önce yapacağımı bilemiyorum.",stresli
Telefona bakarken bile içimde huzursuzluk oluyor.,stresli
Annemle olan ilişkimiz beni sürekli strese sokuyor.,stresli
Zamanla yarışır gibiyim.,stresli
İlişkimdeki belirsizlik beni çok yıpratıyor.,stresli
İşe odaklanamıyorum çünkü sürekli aklım başka yerde.,stresli
Herkesin benden mükemmel olmamı beklemesi dayanılmaz.,stresli
Sürekli tetikte olmak yıpratıcı.,stresli
Trafikte geçirdiğim zaman sinir sistemimi mahvediyor.,stresli
Okul-iş arasında gidip gelmek psikolojimi bozuyor.,stresli
Küçük şeyler bile beni çok kolay strese sokuyor.,stresli
Sorumluluklarımı unutacağım korkusuyla her şeyi not alıyorum.,stresli
Sürekli tetikte olmak zorundaymışım gibi hissediyorum.,stresli
"İnsanlar beni anlamıyor, bu da beni strese sokuyor.",stresli
Maddi sıkıntılarım beni geceleri bile rahat bırakmıyor.,stresli
Kendimi hep eksik hissediyorum.,stresli
"Sınavdan önce ellerim terliyor, içimde tarif edilemez bir stres oluyor.",stresli
Gülümsemeye çalışıyorum ama içim yanıyor.,stresli
Sosyal ortamlarda nasıl davranmam gerektiğini düşünmek bile yoruyor.,stresli
Sadece nefes almak bile yorucu geliyor.,stresli
Evdeki gürültü bile beni sinirlendirmeye başladı.,stresli
Mükemmel olmaya çalışırken kendimi kaybediyorum.,stresli
Telefona gelen her bildirim kalbimi hızlı attırıyor.,stresli
İnsanlarla yüzleşmek istemiyorum.,stresli
Hatalarım yüzünden kendimi sürekli baskı altında hissediyorum.,stresli
"Bazen bağırmak istiyorum, içimde birikiyor.",stresli
Artık hiçbir şeyi tam yapamıyorum gibi geliyor.,stresli
Her sabah uyanmak daha da zor geliyor.,stresli
Arkadaşlarımın beklentilerini karşılayamamak beni üzüyor.,stresli
Duygularımı bastırmak beni daha çok yoruyor.,stresli
Sürekli bir şeyleri kaçırıyorum hissi içimde.,stresli
Kimseye hayır diyememek strese neden oluyor.,stresli
Her hafta toplantı hazırlığı yapmak beni geriyor.,stresli
Başkalarının beklentileriyle yaşıyorum.,stresli
İşe geç kalma korkusu stres yaratıyor.,stresli
Her adımımı planlamazsam huzursuz oluyorum.,stresli
Geleceğe dair plan yapamamak beni endişelendiriyor.,stresli
Gün sonunda başım çatlıyor.,stresli
Her şeyden ben sorumluymuşum gibi davranıyorlar.,stresli
Sürekli kontrol etmeye çalışmak beni delirtmek üzere.,stresli
Kendime hiç zaman ayıramamak beni daha da sinirlendiriyor.,stresli
Herkese yetişmek mümkün değil ama yine de deniyorum.,stresli
Hayat kontrolümden çıkmış gibi hissediyorum.,stresli
Rutinlerime küçük bir şey eklense tüm günüm mahvoluyor.,stresli
"Evdeki işler hiç bitmiyor, hep bir telaşe içindeyim.",stresli
Stres altında karar veremiyorum.,stresli
Arkadaş grubumda bile sürekli geriliyorum.,stresli
Dışarı çıkmadan önce saatlerce hazırlanıyorum çünkü stresli oluyorum.,stresli
Sosyal medya bile artık stres kaynağı oldu.,stresli
Elimden gelenin en iyisini yapıyorum ama yetmiyor gibi hissediyorum.,stresli
Her gün aynı döngüde yaşamak beni yoruyor.,stresli
Uyumadan önce yapılacaklar listesi aklımda dönüp duruyor.,stresli
"Okulda proje teslim tarihleri üst üste geldi, başım dönüyor.",stresli
Sürekli yeni bir sorumluluk yükleniyor.,stresli
Düşünmekten başım ağrıyor.,stresli
İnsanlara hayır dediğimde suçluluk duyuyorum.,stresli
Her hafta sonu plan yapmak zorunda kalmak bile stresli.,stresli
Ertelenmiş işler uykularımı kaçırıyor.,stresli
Vücudumda stresin fiziksel etkilerini hissediyorum.,stresli
İş dışında da sürekli işle meşgulüm.,stresli
Her şeyin mükemmel olması gerektiğini düşünüyorum.,stresli
Kendimi hep yetersiz hissediyorum.,stresli
Ailemden gelen beklentiler beni ağırlaştırıyor.,stresli
Sürekli eleştirileceğim korkusuyla yaşıyorum.,stresli
Evden çıkmadan önce ne giyeceğim bile beni geriyor.,stresli
"Her şey birikiyor, içim şişiyor.",stresli
Topluluk önünde konuşmak bana dayanılmaz geliyor.,stresli
Kaçmak istiyorum ama nereye bilmiyorum.,stresli
İç sesim beni hep daha fazlasını yapmaya zorluyor.,stresli
Dinlenmek istiyorum ama stres buna izin vermiyor.,stresli
Her gün baş ağrısıyla uyanıyorum.,stresli
Sevdiklerime zaman ayıramamak vicdan azabı yaratıyor.,stresli
Kendimi toparlayacak gücü bulamıyorum.,stresli
Bitmeyen sorumluluklar hayatımı zehir ediyor.,stresli
Gülümsemek için bile efor harcamam gerekiyor.,stresli
Bu stres beni tüketti.,stresli
Kendimi son zamanlarda çok yalnız ve değersiz hissediyorum.,üzgün
İnsanlar yanımda ama ben kendimi terkedilmiş hissediyorum.,üzgün
Hiçbir şey eskisi gibi keyif vermiyor.,üzgün
"Telefonum çalmıyor, kimse beni merak etmiyor gibi.",üzgün
Gülümsemeye çalışıyorum ama içimde bir boşluk var.,üzgün
Hayallerimi birer birer gömdüm.,üzgün
Hayatın yükü omuzlarımı ezdikçe daha da üzülüyorum.,üzgün
Yalnızken daha az yargılanıyorum.,üzgün
Kimse beni anlamıyor gibi hissediyorum.,üzgün
"Sürekli geçmişi düşünüyorum, ileriye bakamıyorum.",üzgün
Herkes mutlu görünürken ben neden hep böyleyim bilmiyorum.,üzgün
Gözlerimin altındaki morluklar hissettiklerimi anlatıyor.,üzgün
"İçimde sürekli bir hüzün var, geçmek bilmiyor.",üzgün
Mutlu insanları gördükçe içim daha çok acıyor.,üzgün
Sevdiklerimin beni anlamaması çok canımı yakıyor.,üzgün
Umutlanmak bile acı veriyor artık.,üzgün
Kalabalıklar içinde bile kendimi yalnız hissediyorum.,üzgün
Sadece biri “iyi misin?” dese gözlerim dolacak.,üzgün
Hayatımda hiçbir şey yolunda gitmiyor.,üzgün
Kimseye yük olmak istemediğim için uzak duruyorum.,üzgün
İnsanların yanında güçlü görünmeye çalışmak çok yorucu.,üzgün
Ne zaman mutluluğa yaklaşsam elimden kayıyor.,üzgün
Gözyaşlarımı kimseye göstermeden yutuyorum.,üzgün
Sessizlik bile artık huzur vermiyor.,üzgün
"Her şey üzerime geliyor, çıkış yolu yok gibi.",üzgün
Gülümsemem sahte ama başka çarem yok.,üzgün
Zaman geçtikçe her şeye karşı ilgimi kaybediyorum.,üzgün
"Kalbim sıkışıyor bazen, sanki bir şey eksik.",üzgün
İçimde çözülemeyen bir acı var.,üzgün
Umutlarım yavaş yavaş soluyor.,üzgün
"Artık hayal kuramıyorum, çünkü kırılmaktan yoruldum.",üzgün
İnsanlar arasında bile kendimi tek başıma hissediyorum.,üzgün
Kendimi hep eksik ve yetersiz hissediyorum.,üzgün
Düşüncelerim boğuluyormuşum gibi hissettiriyor.,üzgün
"Uyumak istiyorum, çünkü uyanmak çok zor geliyor.",üzgün
Sabahları neden kalkmam gerektiğini bile bilmiyorum.,üzgün
Duygularımı bastırdıkça daha çok içine kapanıyorum.,üzgün
İçimdeki sessiz çığlıklar duyulmuyor.,üzgün
Eskiden mutlu olduğum şeyler bile artık anlamsız.,üzgün
